Agency ID,Company Name,Cultural Populations Served
14030-PART-01,So Others Might Eat,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14040-PART-01,Community Family Life Services,"East African,Latin American,West African"
14050-PART-01,Bread for the City SE Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14050-PART-02,Bread For The City NW Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14065-PART-01,Lorton Community Action Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14081-PART-01,DC University Food Pantry GWU,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14140-PART-01,The Holy Temple Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14215-PART-01,Metropolitan Baptist Church,"East African,Latin American,Middle Eastern/ North African,West African"
14220-PART-01,Purity Baptist Church,"East African,East Asian,Latin American,West African"
14222-PART-01,SevaTruck Foundation,"Central/South Asian,East Asian,Latin American"
14240-PART-01,Interfaith Community Action Council - Oxon Hill Food Pantry,"East African,East Asian,Latin American,West African"
14305-PART-01,Thrive DC,"Central/South Asian,East Asian,Latin American,Middle Eastern/ North African,West African"
14355-PART-01,Family & Medical Counseling Service,"East African,Latin American,West African"
14375-PART-01,Agape Early Childhood Learning,"Central/South Asian,East African,Latin American,Middle Eastern/ North African,West African"
14410-PART-01,Spanish Catholic Center,"Central/South Asian,East African,East Asian,Latin American,West African"
14500-PART-01,Central Union Mission,"Latin American,Middle Eastern/ North African,West African"
14520-PART-01,The Father McKenna Center,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14540-PART-01,Miriam's Kitchen,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14545-PART-01,Mount Rainier Seventh Day Adventist Spanish Church,"East African,Eastern European,Latin American,West African"
14570-PART-01,ALIVE,"Central/South Asian,East African,Eastern European,Latin American,Middle Eastern/ North African"
14572-PART-01,Emmanuel Worship Center Seventh Day Adventist Church,"East African,Latin American,West African"
14590-PART-01,ACTS,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14600-PART-01,National City Christian Church,"Eastern European,Latin American,Middle Eastern/ North African,West African"
14630-PART-01,Good Samaritan Ministry,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
14665-PART-01,Brighter Day Ministries Food Pantry,"East Asian,West African"
14675-PART-01,Foggy Bottom Food Pantry (United Church),"East Asian,Latin American"
14755-PART-01,Latin American Youth Center,"East African,Latin American,Middle Eastern/ North African,West African"
14770-PART-01,Food For Others,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14790-PART-01,Damien Ministries Food Pantry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14820-PART-01,Nineteenth Street Baptist Church,"Latin American,West African"
14830-PART-01,Faith United Ministries Outreach,"East Asian,West African"
14850-PART-01,First Baptist Church of Capitol Heights,"Latin American,West African"
14895-PART-01,"Cornerstones, Inc.","Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
14910-PART-01,Mary House,"East African,Latin American,Middle Eastern/ North African,West African"
15015-PART-01,MSB Outreach House,"Latin American,West African"
15060-PART-05,Angel Square Assisted Living,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
15095-PART-01,Dupont Park SDA Church,"East African,East Asian,Latin American"
15130-PART-01,Metropolitan SDA Church,"Central/South Asian,East African,East Asian,Latin American,Middle Eastern/ North African,West African"
15135-PART-01,Sixth Church Food Closet,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
15265-PART-01,Lamb of God Lutheran Church,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
15285-PART-01,Columbia Baptist Church,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
15390-PART-01,The Salvation Army - Solomon G Brown,"East African,Latin American,West African"
15390-PART-02,The Salvation Army - Sherman Ave,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
15395-PART-01,Adventist Community Services of Greater Washington,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
15530-PART-01,Arlington Bridge Builders,"Central/South Asian,East African,Eastern European,Latin American,Middle Eastern/ North African,West African"
15550-PART-01,Church of Christ of Dale City,"Eastern European,Latin American"
15610-PART-01,Food For All,"Central/South Asian,East African,Eastern European,Latin American,West African"
15620-PART-01,Grace Episcopal Church,Latin American
15830-PART-01,United Community Ministry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
15870-PART-01,Fort Foote Baptist Church,"East Asian,Latin American"
15990-PART-01,DC Central Kitchen,Latin American
16011-PART-01,"North Capitol Collaborative, Inc.","East African,East Asian,Latin American,West African"
16050-PART-01,Fort Washington Food Pantry,Latin American
16090-PART-01,Walker Mill Community Development Center,"East African,Latin American,West African"
16175-PART-01,ISKCON of Washington,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
16185-PART-01,City of Greenbelt Food Pantry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
16245-PART-01,WFCM Food Pantry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
16275-PART-01,Ladrey Food Pantry,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
16330-PART-01,Greater Refuge Ministries,Latin American
16490-PART-01,St. Michael and All Angels,"East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
16505-PART-01,City of Praise Family Ministries,"Eastern European,Latin American,West African"
16566-PART-01,Ebenezer Church of God,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
16660-PART-01,Washington Spanish SDA Church,"East African,East Asian,Latin American,West African"
16700-PART-01,Gethsemane United Methodist Church,Latin American
16705-PART-01,Bread & Fishes,"Eastern European,Latin American,Middle Eastern/ North African,West African"
16745-PART-01,Urban Outreach Inc.,"East African,East Asian,Latin American,Middle Eastern/ North African,West African"
16850-PART-01,LINK Mobile Food Pantry - Christ the Redeemer,"Central/South Asian,East African,East Asian,Eastern European,Latin American,Middle Eastern/ North African,West African"
16960-PART-01,Southern Friendship Missionary Baptist Church,Latin American
