Name,Region,Zone,Address,Phone,Monthly_schedule,Start_time,End_time,Appointment,Requirements,Distribution_mode,Packaging,Notes,Day,Processed_For_Geocoding,Latitude,Longitude
Children of Mine : Children of Mine,DC, Ward 8,"gloria ward-ravenell 2263 mount view place, se washington DC 20020",(202) 374-6029,2nd and 4th of the Month,08:00 AM,10:00 AM,No,,Walk up,,,Tuesday,"2263 mount view place, se washington DC 20020",,
St. Martins Social Service : St. Martins Social Service,DC, Ward 5, St. Martin's Social Service 1908 North Capitol Street NW Washington DC 20002,(202) 232-1144,Every week,10:00 AM,11:30 AM,No,,Walk up,,walkups,Wednesday,1908 North Capitol Street NW Washington DC 20002,38.9157583,-77.0095097
Bethesda Cares : Bethesda Cares,MD, Montgomery County, Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Every week,11:00 AM,01:00 PM,No,,Home Delivery,,walk-ins hotmeals,Friday || Monday || Thursday || Tuesday || Wednesday,5033 Wilson Lane Bethesda MD 20814,38.9896048,-77.1229785
"Brookland Senior Day Care Center, Inc. : Brookland Senior Day Care Center, Inc.",DC, Ward 4," Brookland Senior Day Care Center, Inc. 6210 Chillum Place NW Washington DC 20011",(302) 538-0813,Every week,12:30 PM,01:30 PM,No,,Walk up,Prepared meals,,Tuesday,6210 Chillum Place NW Washington DC 20011,38.9660472,-77.0111547
City of David Ministries : City of David Ministries,MD, Prince George's County, City of David Ministries 2900 Boones Lane District Heights MD 20747,(301) 200-2489,3rd of the Month,08:00 AM,03:00 PM,Yes,ID,Walk up,Pre-bagged or boxed groceries,,Saturday,2900 Boones Lane District Heights MD 20747,,
City of Greenbelt Food Pantry : City of Greenbelt Food Pantry,MD, Prince George's County, City of Greenbelt Food Pantry 25 Crescent Rd Greenbelt MD 20770,(240) 542-2012,3rd of the Month,01:00 PM,03:00 PM,No,,Walk up,,,Thursday,25 Crescent Rd Greenbelt MD 20770,39.0005734,-76.8773857
Fountain Community Enrichment Inc : Fountain Community Enrichment Inc.,MD, Prince George's County, Fountain Community Enrichment Inc. 15853 Commerce Court Upper Marlboro MD 20774,(301) 335-5038,3rd of the Month,11:00 AM,02:00 PM,No,"ID,Income",Drive thru,Pre-bagged or boxed groceries,,All || Friday,15853 Commerce Court Upper Marlboro MD 20774,,
Hope Presbyterian Church : Hope Presbyterian Church,MD, Prince George's County, Hope Presbyterian Church 1100 Enterprise Road Mitchellville MD 20721,(240) 678-7667,4th of the Month,10:00 AM,12:00 PM,No,,"Drive thru,Home Delivery",Pre-bagged or boxed groceries,Come around church to rear,Saturday || Thursday || Tuesday,1100 Enterprise Road Mitchellville MD 20721,,
Kingdom Global Community Development Corporation : Kingdom Cares Center,MD, Prince George's County, Kingdom Care Center 11700 Beltsville Drive Beltsville MD 20705,(240) 707-1085,Every week,09:00 AM,10:30 AM,No,ID,Walk up,Pre-bagged or boxed groceries,"This food distribution takes place at 11710 Beltsville Drive, Beltsville MD 20904. You may have to enter parking lot in rear via Calverton Blvd",Saturday,11700 Beltsville Drive Beltsville MD 20705,39.0474783,-76.9378141
"Mission of Love Charities, Inc. : Mission of Love Charities, Inc.",MD, Prince George's County," Mission of Love Charities, Inc. 6180 Central Avenue Capitol Heights MD 20743",(301) 333-4440,Every week,08:30 AM,03:30 PM,No,"ID,Income","Drive thru,Walk up",Pre-bagged or boxed groceries,Prepared Meals as well,Friday || Monday || Thursday || Tuesday || Wednesday,6180 Central Avenue Capitol Heights MD 20743,,
Montgomery County Family Center : Montgomery County Family Center,MD, Montgomery County, Montgomery County Family Center 12247 Georgia Ave. Silver Spring MD 20902,(301) 942-1790,"2nd, 3rd, and 4th of the Month",09:00 AM,04:00 PM,No,"ID,Zip Code",Walk up,Pre-bagged or boxed groceries,,Thursday || Tuesday,12247 Georgia Ave. Silver Spring MD 20902,39.0565367,-77.0501716
SOME : So Others Might Eat,DC, Ward 5, SOME 71 O ST NW Washington DC 20002,(202) 235-1472,Every week,09:00 AM,11:00 AM,No,"ID,Income,Zip Code",Walk up,Loose groceries,,Friday || Monday || Thursday || Tuesday || Wednesday,71 O ST NW Washington DC 20002,38.9089563,-77.0114316
The ARK of DC Foundation : The ARK of DC Foundation,DC, Ward 5, The ARK of DC Foundation 1818 New York Ave. NE Washington DC 20002,(771) 210-9962,Every week,09:00 AM,05:00 PM,No,"ID,Zip Code",Walk up,Loose groceries,DC Residents only,Friday || Monday || Thursday || Tuesday || Wednesday,1818 New York Ave. NE Washington DC 20002,38.9176751,-76.9767498
Catholic University of America : The Cardinal Cupboard,DC, Ward 5, Catholic University of America: The Cardinal Cupboard 620 Michigan Ave NE Washington DC 20064,(202) 319-5575,Every week,12:00 PM,06:00 PM,No,,"Drive thru,Walk up",Loose groceries,,Friday || Monday || Thursday || Tuesday || Wednesday,620 Michigan Ave NE Washington DC 20064,38.9391024,-76.9999642
Faith Tabernacle of Prayer : Faith Tabernacle of Prayer,DC, Ward 8, Faith Tabernacle of Prayer 2465 Alabama Ave SE Washington DC 20020,(202) 678-6012,1st of the Month,11:30 AM,01:30 PM,No,,Walk up,Pre-bagged or boxed groceries,"no income, ID, or zip code requirement",Saturday,2465 Alabama Ave SE Washington DC 20020,38.8546279,-76.9696303
Code 3 Association : Code 3 Association,DC, Falls Church City, Code 3 Association 2929 Graham Road Falls Church VA 22042,(703) 400-2118,"1st, 2nd, and 3rd of the Month",11:00 AM,12:00 PM,No,,Walk up,Loose groceries,,Saturday,3 Association 2929 Graham Road Falls Church VA 22042,,
Enterprise Community Development : ECD - Edgewood Commons,DC, Ward 5, ECD - Edgewood Commons 8403 Colesville Rd Suite 1150 Silver Spring MD 20910,(202) 506-4520,1st and 3rd of the Month,11:00 AM,04:00 PM,No,,Walk up,,Fresh Produce,Thursday,8403 Colesville Rd Suite 1150 Silver Spring MD 20910,,
The Gourmet Angel Food Bank : The Gourmet Angel Food Bank,VA, City of Alexandria,Mount Jezreel Baptist Church 317 N Payne Street Alexandria VA 22314,(469) 237-7858,Every week,10:00 AM,12:00 PM,No,,Walk up,,,Friday,317 N Payne Street Alexandria VA 22314,38.8087712,-77.0525098
Lorton Community Action Center : Lorton Community Action Center,VA, Fairfax County, Lorton Community Action Center 9520 Richmond Hwy door A3 Lorton VA 22079,(703) 339-5161,Every week,11:00 AM,05:00 PM,No,Zip Code,Walk up,,"22060, 22079",Thursday || Tuesday || Wednesday,9520 Richmond Hwy door A3 Lorton VA 22079,,
District House GWU : DC University Food Pantry GWU,DC, Ward 2," District House GWU 800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",(202) 994-9192,Every week,12:00 PM,06:00 PM,No,,Walk up,Loose groceries,Members of the George Washington Univ. community only.,Friday || Monday || Thursday || Tuesday || Wednesday,"800 21st Street NW Ground Floor, Military and Veteran Services Washington DC 20052",,
Interfaith Community Action Council : Interfaith Community Action Council - Oxon Hill Food Pantry,MD, Prince George's County, Oxon Hill Food Pantry 4915 Saint Barnabas Road Temple Hills MD 20748,(301) 899-8358,2nd of the Month,10:00 AM,12:00 PM,Yes,Zip Code,"Drive thru,Walk up",Loose groceries,,Saturday,4915 Saint Barnabas Road Temple Hills MD 20748,38.8219741,-76.9565649
Father Mckenna Center : The Father McKenna Center,DC, Ward 6, The Father McKenna Center 900 North Capital St NW Washington DC DC 20002,(202) 842-1112,Every week,01:30 PM,02:30 PM,No,"ID,Income",Walk up,Loose groceries,"To use our full pantry, we require that in an addition to a photo ID that our visitors provide us with a copy of a proof of residence in DC. This can be a current lease, or a recent utility bill, rent receipt, mortgage, or deed.",Friday || Monday || Thursday || Tuesday,900 North Capital St NW Washington DC DC 20002,,
Brighter Day Ministries Food Pantry : Brighter Day Ministries Food Pantry,DC, Ward 8,Brighter Day Ministries Food Pantry 3209 5th Street SE Washington DC 20032,(301) 806-4305,Every week,11:00 AM,02:00 PM,No,"ID,Income",Walk up,Loose groceries,,Thursday,3209 5th Street SE Washington DC 20032,38.842617,-76.9997498
Foggy Bottom Food Pantry : Foggy Bottom Food Pantry (United Church),DC, Ward 2, Foggy Bottom Food Pantry 1920 G Street NW Washington DC 20006,(202) 573-0450,2nd and 4th of the Month,10:00 AM,12:00 PM,No,"ID,Income,Zip Code","Drive thru,Walk up",,,Saturday,1920 G Street NW Washington DC 20006,38.8980713,-77.0446813
Food for Others : Food For Others,VA, Fairfax County, Food For Others 2938 Prosperity Avenue Fairfax VA 22031,(703) 207-9173,Every week,09:30 AM,05:00 PM,No,"ID,Income","Home Delivery,Walk up",Loose groceries,We ask for ID or a piece of mail  to verify Virginia residency. Please check our website for Holiday Closings.,Friday || Thursday || Tuesday || Wednesday,2938 Prosperity Avenue Fairfax VA 22031,38.8721204,-77.2368594
"Cornerstones Inc. : Cornerstones, Inc.",VA, Fairfax County," Cornerstones, Inc. 11484 Washington Plz W  #120 Reston VA 20190",(571) 323-1410,Every week,08:30 AM,01:30 PM,No,"ID,Zip Code","Home Delivery,Walk up",Loose groceries,,Friday || Monday || Saturday || Thursday || Tuesday || Wednesday,11484 Washington Plz W #120 Reston VA 20190,,
Mary House : Mary House,DC, Ward 5,Mary House 4303 13th st NE Washington DC 20017,(202) 635-9025,1st and 3rd of the Month,10:00 AM,01:00 PM,Yes,,"Home Delivery,Walk up",Loose groceries,,Tuesday,4303 13th st NE Washington DC 20017,38.9420099,-76.988045
Columbia Baptist Church : Columbia Baptist Church,VA, Fairfax County, Columbia Baptist Church 3245 Glen Carlyn Rd. Falls Church VA 22041,(571) 422-2075,Every week,09:00 AM,10:30 AM,No,,"Drive thru,Walk up",Loose groceries,,Saturday,3245 Glen Carlyn Rd. Falls Church VA 22041,,
Salvation Army : The Salvation Army - Sherman Ave,DC, Ward 1, Salvation Army- Sherman 3335 Sherman Ave. NW Washington DC 20010,(202) 829-0100,Every week,09:30 AM,01:30 PM,No,"ID,Zip Code",Walk up,Pre-bagged or boxed groceries,,Friday || Monday,3335 Sherman Ave. NW Washington DC 20010,38.9315816,-77.0263815
United Community : United Community Ministry,VA, Fairfax County, United Community Ministry 7511 Fordson Road Alexandria VA 22306,(703) 768-7106,Every week,02:00 PM,05:00 PM,No,"ID,Income,Zip Code","Home Delivery,Walk up",Loose groceries,"22303, 22306, 22307, 23308, 22309, 22310. We are not currently accepting new clients at this time.",Monday || Saturday || Thursday || Tuesday || Wednesday,7511 Fordson Road Alexandria VA 22306,,
Mount Moriah Baptist Church : Mount Moriah Baptist Church,DC, Ward 7, Mount Moriah Baptist Church 1636 East Capital St NE Washington DC 20001,(410) 271-5656,4th of the Month,10:00 AM,12:00 PM,No,ID,Walk up,Loose groceries,,Wednesday,1636 East Capital St NE Washington DC 20001,,
Walker Mill Community Development : Walker Mill Community Development Center,MD, Prince George's County, Walker Mill Community Development Center 6801 Walker Mill Rd Capitol Heights MD 20743,(240) 350-4056,Every week,10:00 AM,12:30 PM,No,ID,Walk up,Loose groceries,Please enter side door and bring own bags,Monday,6801 Walker Mill Rd Capitol Heights MD 20743,38.8686339,-76.8906355
Bethlehem Baptist Church : Bethlehem Baptist Church,VA, Fairfax County, Bethlehem Baptist Church 7836 Fordson Road Alexandria VA 22306,(703) 867-6049,Every Other Week,12:00 PM,02:00 PM,Yes,Zip Code,Home Delivery,Loose groceries,,Saturday,7836 Fordson Road Alexandria VA 22306,,
St. Joseph Catholic Church : St. Joseph Catholic Church,MD, Prince George's County, St. Joseph Catholic Church 2020 St Joseph Drive  Largo MD 20774,(301) 773-0102,3rd of the Month,11:00 AM,12:00 PM,Yes,Income,Drive thru,Loose groceries,"Emergency food is available after hours. Must call to arrange a pickup at 301-773-4838, ext. 13.",Saturday,2020 St Joseph Drive Largo MD 20774,,
"SEED Inc. : Sowing Empowerment & Economic Development, Inc.",MD, Prince George's County," Sowing Empowerment & Economic Development, Inc. 5819 Eastpine Dr Riverdale MD 20737",(301) 458-9808,Every week,12:00 PM,02:30 PM,No,ID,Walk up,,Bring bags,Wednesday,5819 Eastpine Dr Riverdale MD 20737,38.9583116,-76.9065907
