Name,Agency Region,County/Ward,Address,Phone,Day of Week,Monthly Options,Starting Time,Ending Time,By Appointment Only,Food Pantry Requirements,Distribution Models,Food Format ,Additional Note on Hours of Operations,Original_Address,Processed_For_Geocoding,Latitude,Longitude
Children of Mine : Children of Mine,DC,DC Ward 8,"gloria ward-ravenell 2263 mount view place, se washington DC 20020",(202) 374-6029,Tuesday,2nd and 4th of the Month,08:00 AM,10:00 AM,No,,,,,"gloria ward-ravenell 2263 mount view place, se washington DC 20020","2263 mount view place, se washington DC 20020",,
St. Martins Social Service : St. Martins Social Service,DC,DC Ward 5,Attn: St. Martin's Social Service 1908 North Capitol Street NW Washington DC 20002,(202) 232-1144,Wednesday,Every week,10:00 AM,11:30 AM,No,,,,walkups,Attn: St. Martin's Social Service 1908 North Capitol Street NW Washington DC 20002,1908 North Capitol Street NW Washington DC 20002,38.9157583,-77.0095097
Bethesda Cares : Bethesda Cares,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Monday,Every week,11:00 AM,01:00 PM,No,,,,walk-ins hotmeals,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,5033 Wilson Lane Bethesda MD 20814,38.9896048,-77.1229785
Bethesda Cares : Bethesda Cares,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Tuesday,Every week,11:00 AM,01:00 PM,No,,,,walk-ins hotmeals,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,5033 Wilson Lane Bethesda MD 20814,38.9896048,-77.1229785
Bethesda Cares : Bethesda Cares,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Wednesday,Every week,11:00 AM,01:00 PM,No,,,,walk in hot meals,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,5033 Wilson Lane Bethesda MD 20814,38.9896048,-77.1229785
Bethesda Cares : Bethesda Cares,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Thursday,Every week,11:00 AM,01:00 PM,No,,,,walk in hot meals,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,5033 Wilson Lane Bethesda MD 20814,38.9896048,-77.1229785
Bethesda Cares : Bethesda Cares,MD,MD Montgomery County,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,(301) 907-9244,Friday,Every week,11:00 AM,01:00 PM,No,,,,walk ins hot meals give meals for Saturday on Fridays,Attn: Bethesda Cares 5033 Wilson Lane Bethesda MD 20814,5033 Wilson Lane Bethesda MD 20814,38.9896048,-77.1229785
"Brookland Senior Day Care Center, Inc. : Brookland Senior Day Care Center, Inc.",DC,DC Ward 4,"Attn: Brookland Senior Day Care Center, Inc. 6210 Chillum Place NW Washington DC 20011",(302) 538-0813,Tuesday,Every week,12:30 PM,01:30 PM,No,,,Prepared meals,,"Attn: Brookland Senior Day Care Center, Inc. 6210 Chillum Place NW Washington DC 20011",6210 Chillum Place NW Washington DC 20011,38.9660472,-77.0111547
City of David Ministries : City of David Ministries,MD,MD Prince George's County,Attn: City of David Ministries 2900 Boones Lane District Heights MD 20747,(301) 200-2489,Saturday,3rd of the Month,08:00 AM,03:00 PM,Yes,ID,,Pre-bagged or boxed groceries,,Attn: City of David Ministries 2900 Boones Lane District Heights MD 20747,2900 Boones Lane District Heights MD 20747,,
City of David Ministries : City of David Ministries,MD,MD Prince George's County,Attn: City of David Ministries 2900 Boones Lane District Heights MD 20747,(301) 200-2489,Saturday,4th of the Month,10:00 AM,02:00 PM,Yes,ID,Home Delivery,,,Attn: City of David Ministries 2900 Boones Lane District Heights MD 20747,2900 Boones Lane District Heights MD 20747,,
City of Greenbelt Food Pantry : City of Greenbelt Food Pantry,MD,MD Prince George's County,Attn: City of Greenbelt Food Pantry 25 Crescent Rd Greenbelt MD 20770,(240) 542-2012,Thursday,3rd of the Month,01:00 PM,03:00 PM,No,,,,,Attn: City of Greenbelt Food Pantry 25 Crescent Rd Greenbelt MD 20770,25 Crescent Rd Greenbelt MD 20770,39.0005734,-76.8773857
Fountain Community Enrichment Inc : Fountain Community Enrichment Inc.,MD,MD Prince George's County,Attn: Fountain Community Enrichment Inc. 15853 Commerce Court Upper Marlboro MD 20774,(301) 335-5038,Friday,3rd of the Month,11:00 AM,02:00 PM,No,"ID,Income",Drive thru,Pre-bagged or boxed groceries,,Attn: Fountain Community Enrichment Inc. 15853 Commerce Court Upper Marlboro MD 20774,15853 Commerce Court Upper Marlboro MD 20774,,
